date,title,description,location
08-23-2023,Hinchables en las piscinas - Puzgarriak igerilekuetan,,LaBastida
09-03-2023,Hinchables en las piscinas - Puzgarriak igerilekuetan,,LaBastida
08-09-2023,Natación infantil - Haurren igeriketa,,LaBastida
08-11-2023,Natación infantil - Haurren igeriketa,,LaBastida
08-16-2023,Natación infantil - Haurren igeriketa,,LaBastida
08-05-2023,Programa de Fiestas de las Reliquias - 2023 - Erlikietako Jaien Egitaraua,"PROGRAMA DE FIESTAS DE LAS RELIQUIAS 2023ERLIKIETAKO JAIEN EGITARAUA 2023<span style=""font-family: \'arial black\",LaBastida
08-06-2023,Programa de Fiestas de las Reliquias - 2023 - Erlikietako Jaien Egitaraua,"PROGRAMA DE FIESTAS DE LAS RELIQUIAS 2023ERLIKIETAKO JAIEN EGITARAUA 2023Haz click aquípara descargarte el programa de fiestas completo, o escanea el código QR de la imagen:",LaBastida
08-07-2023,Programa de Fiestas de las Reliquias - 2023 - Erlikietako Jaien Egitaraua,"PROGRAMA DE FIESTAS DE LAS RELIQUIAS 2023ERLIKIETAKO JAIEN EGITARAUA 2023Haz click aquípara descargarte el programa de fiestas completo, o escanea el código QR de la imagen:",LaBastida
08-08-2023,Programa de Fiestas de las Reliquias - 2023 - Erlikietako Jaien Egitaraua,"PROGRAMA DE FIESTAS DE LAS RELIQUIAS 2023ERLIKIETAKO JAIEN EGITARAUA 2023Haz click aquípara descargarte el programa de fiestas completo, o escanea el código QR de la imagen:",LaBastida
08-13-2023,FESTIVAL DE TEATRO DE HUMOR DE ARAIA. CÁNDIDO,,LaBastida
08-12-2023,Festival de Pelota - Pilota Jaialdia,,LaBastida
08-19-2023,FIESTAS DE SALINILLAS/SALINILLAS JAIETAN,,LaBastida
08-20-2023,FIESTAS DE SALINILLAS/SALINILLAS JAIETAN,,LaBastida
08-25-2023,CINE VERANO,,LaBastida
09-02-2023,Bastida Vital Trail,,LaBastida
09-22-2023,Camino escena norte - Ipar eszena bidea,,LaBastida
09-17-2023,28ª Fiesta de la Vendimia - Navaridas / Mahats Bilketaren 28. Festa,https://www.fiestadelavendimiariojaalavesa.com/es/,LaBastida
09-26-2023,Asociación de jubilados San Ginés - Viaje a Burgos,,LaBastida
09-14-2023,Seguridad y cuidados en casa - Segurtasuna eta zaintza etxean,,LaBastida
09-21-2023,Seguridad y cuidados en casa - Segurtasuna eta zaintza etxean,,LaBastida
09-28-2023,Seguridad y cuidados en casa - Segurtasuna eta zaintza etxean,,LaBastida
10-05-2023,Seguridad y cuidados en casa - Segurtasuna eta zaintza etxean,,LaBastida
09-18-2023,Aprende euskera - Euskara ikasi - IKA,,LaBastida
09-16-2023,XXIV Encuentro Red de Mujeres - Emakumearen Sarea XXIV Topaketa,,LaBastida
10-16-2023,KZ Gunea Labastida,,LaBastida
10-19-2023,Bakarkadeak - Eskola-escuela de soledades,,LaBastida
10-26-2023,Bakarkadeak - Eskola-escuela de soledades,,LaBastida
11-02-2023,Bakarkadeak - Eskola-escuela de soledades,,LaBastida
11-09-2023,Bakarkadeak - Eskola-escuela de soledades,,LaBastida
11-16-2023,Bakarkadeak - Eskola-escuela de soledades,,LaBastida
11-23-2023,Konfirmatu gabe-Pendiente de confirmar: Bakardadeak,,LaBastida
11-30-2023,Konfirmatu gabe-Pendiente de confirmar: Bakardadeak,,LaBastida
11-05-2023,Itinerarios verdes - Ibilbide berdeak,,LaBastida
10-30-2023,25-N día Internacional de la Eliminación de la Violencia contra la Mujer - Emakumeen aurkako indarkeria ezabatzeko nazioarteko eguna A-25,,LaBastida
10-31-2023,25-N día Internacional de la Eliminación de la Violencia contra la Mujer - Emakumeen aurkako indarkeria ezabatzeko nazioarteko eguna A-25,,LaBastida
11-25-2023,25-N día Internacional de la Eliminación de la Violencia contra la Mujer - Emakumeen aurkako indarkeria ezabatzeko nazioarteko eguna A-25,,LaBastida
11-11-2023,25N - A25,,LaBastida
11-12-2023,25N - A25,,LaBastida
12-01-2023,DIA DEL EUSKERA,"Programa de actividades con motivo del Día del EuskeraEuskararen Eguna ospatzeko ekintzen programaViernes 1 de diciembre / Abenduak 1, ostiralaSábado 2 de diciembre / Larunbata, abenduak 2",LaBastida
12-07-2023,Teatro y taller entre mayores y pequeños,,LaBastida
12-06-2023,MERCADILLO SOLIDARIO ENFERMEDADES PRIÓNICAS,,LaBastida
12-09-2023,MEMORIA DEMO,,LaBastida
12-20-2023,Marrate Musika Eskola: Audición de Navidad - Gabonetako  kontzertua,,LaBastida
12-24-2023,DANZA DE LOS PASTORES,,LaBastida
12-25-2023,DANZA DE LOS PASTORES,,LaBastida
12-22-2023,OFICINA EMPRENDIMIENTO,,LaBastida
12-31-2023,SAN SILVESTRE 2023,,LaBastida
01-02-2024,Punto Verde Móvil - Puntu Berde Mugikorra,,LaBastida
02-06-2024,Punto Verde Móvil - Puntu Berde Mugikorra,,LaBastida
03-05-2024,Punto Verde Móvil - Puntu Berde Mugikorra,,LaBastida
04-02-2024,Punto Verde Móvil - Puntu Berde Mugikorra,,LaBastida
05-07-2024,Punto Verde Móvil - Puntu Berde Mugikorra,,LaBastida
06-04-2024,Punto Verde Móvil - Puntu Berde Mugikorra,,LaBastida
07-02-2024,Punto Verde Móvil - Puntu Berde Mugikorra,,LaBastida
08-06-2024,Punto Verde Móvil - Puntu Berde Mugikorra,,LaBastida
09-03-2024,Punto Verde Móvil - Puntu Berde Mugikorra,,LaBastida
10-01-2024,Punto Verde Móvil - Puntu Berde Mugikorra,,LaBastida
11-05-2024,Punto Verde Móvil - Puntu Berde Mugikorra,,LaBastida
12-03-2024,Punto Verde Móvil - Puntu Berde Mugikorra,,LaBastida
12-27-2023,TALLER DE GALLETAS,,LaBastida
01-05-2024,CABALGATA DE REYES,,LaBastida
01-04-2024,FIRMA DE LIBROS ATXALDE,,LaBastida
02-08-2024,Jueves de Todos,"Recuperación de la tradición de ""las mascaretas""""Maskareten"" tradizioa berreskuratzea""Los carnavales comenzaban el domingo por la tarde al finalizar la función religiosa. Las típicas caretas se vendían en las tiendas del pueblo y los disfraces, las más de las veces, eran fabricados por los propios disfrazados. A quienes de éstos iban enmascarados se les llamabamascaretas(...)""La M.N. y M.L. Villa de Labastida, Pérez García, Jesús Mª._______""Inauteriak igande arratsaldean hasten ziren, erlijio-funtzioa amaitzean. Maskara tipikoak herriko dendetan saltzen ziren eta mozorroak, gehienetan, mozorrotuek egiten zituzten.Maskaratutazeudenei maskarak esaten zitzaien (...) ""La M.N. y M.L. Villa de Labastida, Pérez García, Jesús Mª......",LaBastida
02-10-2024,CARNAVAL 2024,,LaBastida
02-15-2024,TALLER ARMONIAREN,,LaBastida
02-22-2024,CONOCETE PARA SER FELIZ LIDERANDO TU VIDA,,LaBastida
02-29-2024,CONOCETE PARA SER FELIZ LIDERANDO TU VIDA,,LaBastida
03-07-2024,CONOCETE PARA SER FELIZ LIDERANDO TU VIDA,,LaBastida
03-14-2024,CONOCETE PARA SER FELIZ LIDERANDO TU VIDA,,LaBastida
02-24-2024,FIRMA DE LIBROS - JESÚS Mº PEREZ (ATXALDE),,LaBastida
03-25-2024,PERSONALIZACIÓN TARJETAS BAT,,LaBastida
03-08-2024,8-M,,LaBastida
03-01-2024,CARRERA SOLIDARIA CONTRA EL CANCER INFANTIL,,LaBastida
03-16-2024,"Proyección ""EL GANADO NO ES EL ENEMIGO, ES LA CLAVE""",,LaBastida
09-05-2024,LA VUELTA A ESPAÑA 2024,,LaBastida
03-29-2024,FESTIVAL DE PELOTA MANO,,LaBastida
03-28-2024,SEMANA SANTA 2024,,LaBastida
03-30-2024,"PRESENTACIÓN LIBRO ""LABASTIDA, EL ESPLENDOR DE UNA VILLA""",,LaBastida
04-10-2024,SESIÓN CON ONG AMOR SIN BARRERAS,,LaBastida
04-06-2024,CONCIERTO DE ÓRGANO,,LaBastida
04-27-2024,SAN PRUDENCIO 2024,,LaBastida
07-05-2024,BODEGAS A PIE DE CALLE 2024,,LaBastida
05-18-2024,CONCIERTO AGRUPACIÓN CORAL EN LA IGLESIA,,LaBastida
05-28-2024,POETAS EN MAYO,,LaBastida
05-15-2024,SAN ISIDRO LABRADOR,,LaBastida
06-02-2024,SUBIDA AL TOLOÑO 2024,,LaBastida
08-09-2024,DJ SOFIA CRISTO,,LaBastida
08-01-2024,INSPECCION TECNICA VEHICULOS AGRICOLAS,,LaBastida
06-22-2024,TEATRO CIA JAM L\' ACTITUD,,LaBastida
06-29-2024,"TEATRO EN EL PARQUE DE EL CRISTO ""NATURAREN ISPILUA""",,LaBastida
06-23-2024,SAN JUAN 2024,,LaBastida
08-11-2024,PELOTA MANO,,LaBastida
11-01-2024,ABRA RIOJA ALAVESA PLAZA,,LaBastida
